profanity	obfuscation	pos	definition	language
fuck	f*ck	VERB	https://babelnet.org/synset?id=bn:00083081v&lang=EN	EN
fuck	f*ck	ADV	https://babelnet.org/synset?id=bn:13743622r&lang=EN	EN
fucking	f*cking	NOUN	https://babelnet.org/synset?id=bn:00006453n&lang=EN	EN
fucking	f*cking	ADJ	https://babelnet.org/synset?id=bn:00098006a&lang=EN	EN
fucking	f*cking	ADV	https://babelnet.org/synset?id=bn:00115472r&lang=EN	EN
hoe	h*e	NOUN	https://babelnet.org/synset?id=bn:26690565n&lang=EN	EN
homo	h*mo	NOUN	https://babelnet.org/synset?id=bn:00037541n&lang=EN	EN
kike	k*ke	NOUN	https://babelnet.org/synset?id=bn:00045464n&lang=EN	EN
mong	m*ng	NOUN	https://www.urbandictionary.com/define.php?term=mong	EN
muzzie	m*zzie	NOUN	https://babelnet.org/synset?id=bn:13755277n&lang=EN	EN
negro	n*gro	NOUN	https://babelnet.org/synset?id=bn:00010820n&lang=EN	EN
negro	n*gro	ADJ	https://babelnet.org/synset?id=bn:00107209a&lang=EN	EN
nigga	n*gga	NOUN	https://babelnet.org/synset?id=bn:00022443n&lang=EN	EN
nigger	n*gger	NOUN	https://babelnet.org/synset?id=bn:00022443n&lang=EN	EN
pansie	p*nsie	NOUN	https://www.urbandictionary.com/define.php?term=Pansie	EN
piss	p*ss	NOUN	https://babelnet.org/synset?id=bn:00061254n&lang=EN	EN
piss	p*ss	VERB	https://babelnet.org/synset?id=bn:00090583v&lang=EN	EN
pussy	p*ssy	NOUN	https://babelnet.org/synset?id=bn:00024407n&lang=EN	EN
rapefugee	r*pefugee	NOUN	https://babelnet.org/synset?id=bn:27211111n&lang=EN	EN
shemale	sh*male	NOUN	https://babelnet.org/synset?id=bn:02643699n&lang=EN	EN
shit	sh*t	NOUN	https://babelnet.org/synset?id=bn:00023556n&lang=EN	EN
shit	sh*t	ADJ	https://babelnet.org/synset?id=bn:13605696a&lang=EN	EN
shit	sh*t	VERB	https://babelnet.org/synset?id=bn:00084350v&lang=EN	EN
shithole	sh*thole	NOUN	https://babelnet.org/synset?id=bn:27221092n&lang=EN	EN
slut	sl*t	NOUN	https://babelnet.org/synset?id=bn:00072076n&lang=EN	EN
slut	sl*t	VERB	https://babelnet.org/synset?id=bn:13734563v&lang=EN	EN
tit	t*t	NOUN	https://babelnet.org/synset?id=bn:00012047n&lang=EN	EN
tranny	tr*nny	NOUN	https://babelnet.org/synset?id=bn:15152029n&lang=EN	EN
transvestite	tr*nsvestite	NOUN	hhttps://babelnet.org/synset?id=bn%3A00023954n&lang=EN	EN
vagina	v*gina	NOUN	https://babelnet.org/synset?id=bn:14213897n&lang=EN	EN
wetback	w*tback	NOUN	https://babelnet.org/synset?id=bn:00041548n&lang=EN	EN
whore	wh*re	NOUN	https://babelnet.org/synset?id=bn:00009205n&lang=EN	EN
anus	an*s	NOUN	https://babelnet.org/synset?id=bn:00005914n&lang=FR	FR
baisage	b*isage	NOUN	https://babelnet.org/synset?id=bn:00006453n&lang=FR	FR
baise	b*ise	NOUN	https://babelnet.org/synset?id=bn:00006453n&lang=FR	FR
baiser	b*iser	VERB	https://babelnet.org/synset?id=bn:00006453n&lang=FR	FR
bite	b*te	NOUN	https://babelnet.org/synset?id=bn:00020263n&lang=FR	FR
bougnoule	b*ugnoule	NOUN	https://babelnet.org/synset?id=bn:00022443n&lang=FR	FR
branler	br*nler	VERB	https://babelnet.org/synset?id=bn:0088609v&lang=FR	FR
catin	c*tin	NOUN	https://babelnet.org/synset?id=bn:00072076n&lang=FR	FR
chatte	ch*tte	NOUN	https://babelnet.org/synset?id=bn:00024407n&lang=FR	FR
con	c*n	NOUN	https://babelnet.org/synset?id=bn:00005914n&lang=FR	FR
connard	c*nnard	NOUN	https://babelnet.org/synset?id=bn:00005914n&lang=FR	FR
connasse	c*nnasse	NOUN	https://babelnet.org/synset?id=bn%3A00024407n&lang=FR	FR
copuler	c*puler	VERB	https://babelnet.org/synset?id=bn:00083081v&lang=FR	FR
coucher	c*ucher	VERB	https://babelnet.org/synset?id=bn:00083081v&lang=FR	FR
couillon	c*uillon	NOUN	https://babelnet.org/synset?id=bn:00020263n&lang=FR	FR
coureuse	c*ureuse	NOUN	https://babelnet.org/synset?id=bn:00072076n&lang=FR	FR
cul	c*l	NOUN	https://babelnet.org/synset?id=bn:00005914n&lang=FR	FR
enconner	enc*nner	VERB	https://babelnet.org/synset?id=bn:00083081v&lang=FR	FR
enculé	enc*lé	NOUN	https://babelnet.org/synset?id=bn:0006506n&&lang=FR	FR
enculer	enc*ler	VERB	https://babelnet.org/synset?id=bn:00083081v&lang=FR	FR
forniquer	f*rniquer	VERB	https://babelnet.org/synset?id=bn:00083081v&lang=FR	FR
fourrer	f*urrer	VERB	https://babelnet.org/synset?id=bn:00083081v&lang=FR	FR
foutre	f*utre	NOUN	https://babelnet.org/synset?id=bn:00020895n&lang=FR	FR
fuck	f*ck	NOUN	https://babelnet.org/synset?id=bn:00006453n&lang=FR	FR
garce	g*rce	NOUN	https://babelnet.org/synset?id=bn:00010740n&lang=FR	FR
gland	gl*nd	NOUN	https://babelnet.org/synset?id=bn:00006506n&lang=FR	FR
grue	gr*e	NOUN	https://babelnet.org/synset?id=bn:00072076n&lang=FR	FR
homo	h*mo	NOUN	https://babelnet.org/synset?id=bn:00037541n&lang=FR	FR
merde	m*rde	NOUN	https://babelnet.org/synset?id=bn:00006453n&lang=FR	FR
minet	m*net	NOUN	https://babelnet.org/synset?id=bn:00024407n&lang=FR	FR
minette	m*nette	NOUN	https://babelnet.org/synset?id=bn:00024407n&lang=FR	FR
minou	m*nou	NOUN	https://babelnet.org/synset?id=bn:00024407n&lang=FR	FR
moule	m*ule	NOUN	https://babelnet.org/synset?id=bn:00024407n&lang=FR	FR
nibard	n*bard	NOUN	https://babelnet.org/synset?id=bn:00012047n&lang=FR	FR
nichon	n*chon	NOUN	https://babelnet.org/synset?id=bn:00012047n&lang=FR	FR
niquer	n*quer	VERB	https://babelnet.org/synset?id=bn:00083081v&lang=FR	FR
prout	pr*ut	NOUN	https://babelnet.org/synset?id=bn:00032701n&lang=FR	FR
putain	p*tain	NOUN	https://babelnet.org/synset?id=bn:00006506n&lang=FR	FR
pute	p*te	NOUN	https://babelnet.org/synset?id=bn:00072076n&lang=FR	FR
salaud	s*laud	NOUN	https://babelnet.org/synset?id=bn:00006506n&lang=FR	FR
salope	s*lope	NOUN	https://babelnet.org/synset?id=bn:00010740n&lang=FR	FR
saloperie	s*loperie	NOUN	https://babelnet.org/synset?id=bn:00006506n&lang=FR	FR
tantouze	t*ntouze	NOUN	https://fr.wiktionary.org/wiki/tantouze	FR
tapette	t*pette	NOUN	https://babelnet.org/synset?id=bn:00032701n&lang=FR	FR
arschloch	arschl*ch	NOUN	https://babelnet.org/synset?id=bn:00005914n&lang=DE	DE
bastard	b*stard	NOUN	https://babelnet.org/synset?id=bn:00006506n&lang=DE	DE
bumsen	b*msen	VERB	https://babelnet.org/synset?id=bn:00083081v&lang=DE	DE
ficken	f*cken	NOUN	https://babelnet.org/synset?id=bn:00006453n&lang=DE	DE
ficker	f*cker	NOUN	https://www.urbandictionary.com/define.php?term=ficker	DE
fotze	f*tze	NOUN	https://babelnet.org/synset?id=bn:00024407n&lang=DE	DE
hure	h*re	NOUN	https://babelnet.org/synset?id=bn:00009205n&lang=DE	DE
hurensohn	h*rensohn	NOUN	https://babelnet.org/synset?id=bn:00006506n&lang=DE	DE
nigga	n*gga	NOUN	https://babelnet.org/synset?id=bn:00022443n&lang=DE	DE
nigger	n*gger	NOUN	https://babelnet.org/synset?id=bn:00022443n&lang=DE	DE
nigra	n*gra	NOUN	https://babelnet.org/synset?id=bn:00022443n&lang=DE	DE
pimpern	p*mpern	VERB	https://babelnet.org/synset?id=bn:00083081v&lang=DE	DE
puffmutter	p*ffmutter	NOUN	https://babelnet.org/synset?id=bn:00009205n&lang=DE	DE
schlampe	schl*mpe	NOUN	https://babelnet.org/synset?id=bn:00072076n&lang=DE	DE
schnackseln	schn*ckseln	VERB	https://babelnet.org/synset?id=bn:00083081v&lang=DE	DE
schwachkopf	schw*chkopf	NOUN	https://babelnet.org/synset?id=bn:00006506n&lang=DE	DE
schwuchtel	schw*chtel	NOUN	https://babelnet.org/synset?id=bn:00032701n&lang=DE	DE
verdammt	v*rdammt	NOUN	https://babelnet.org/synset?id=bn:00006453n&lang=DE	DE
wichser	w*chser	NOUN	https://www.urbandictionary.com/define.php?term=wichser	DE
bagascia	b*gascia	NOUN	https://babelnet.org/synset?id=bn:00009205n&lang=IT	IT
baldracca	b*ldracca	NOUN	https://babelnet.org/synset?id=bn:00072076n&lang=IT	IT
bastardo	b*stardo	NOUN	https://babelnet.org/synset?id=bn:00006506n&lang=IT	IT
battona	b*ttona	NOUN	https://babelnet.org/synset?id=bn:00009205n&lang=IT	IT
bischero	b*schero	NOUN	https://babelnet.org/synset?id=bn:00020263n&lang=IT	IT
bocchino	b*cchino	NOUN	https://babelnet.org/synset?id=bn:00033999n&lang=IT	IT
cagna	c*gna	NOUN	https://babelnet.org/synset?id=bn:00010740n&lang=IT	IT
cazzo	c*zzo	NOUN	https://babelnet.org/synset?id=bn:00020263n&lang=IT	IT
checca	ch*cca	NOUN	https://babelnet.org/synset?id=bn:00032701n&lang=IT	IT
chiavare	ch*avare	VERB	https://babelnet.org/synset?id=bn:00083081v&lang=IT	IT
chiavata	ch*avata	NOUN	https://babelnet.org/synset?id=bn:00006453n&lang=IT	IT
coglione	c*glione	NOUN	https://babelnet.org/synset?id=bn:00012591n&lang=IT	IT
culo  c*lo  NOUN  https://babelnet.org/synset?id=bn%3A00005913n&lang=IT	IT			
culattone	c*lattone	NOUN	https://babelnet.org/synset?id=bn:00032701n&lang=IT	IT
donnaccia	d*nnaccia	NOUN	https://babelnet.org/synset?id=bn:00009205n&lang=IT	IT
femminiello	f*mminiello	NOUN	https://babelnet.org/synset?id=bn%3A02551254n&lang=IT	IT
fessa	f*ssa	NOUN	https://babelnet.org/synset?id=bn%3A00024407n&lang=IT	IT
fica	f*ca	NOUN	https://babelnet.org/synset?id=bn:00024407n&lang=IT	IT
figa	f*ga	NOUN	https://babelnet.org/synset?id=bn:00024407n&lang=IT	IT
finocchio	f*nocchio	NOUN	https://babelnet.org/synset?id=bn:00032701n&lang=IT	IT
fottere	f*ttere	VERB	https://babelnet.org/synset?id=bn:00083081v&lang=IT	IT
fregna	fr*gna	NOUN	https://babelnet.org/synset?id=bn:00024407n&lang=IT	IT
frocio	fr*cio	NOUN	https://babelnet.org/synset?id=bn:00032701n&lang=IT	IT
froci	fr*ci	NOUN	https://babelnet.org/synset?id=bn:00032701n&lang=IT	IT
frocia	fr*cia	NOUN	https://babelnet.org/synset?id=bn:00032701n&lang=IT	IT
merda	m*rda	NOUN	https://babelnet.org/synset?id=bn:00005914n&lang=IT	IT
mignotta	m*gnotta	NOUN	https://babelnet.org/synset?id=bn:00072076n&lang=IT	IT
minchia	m*nchia	NOUN	https://babelnet.org/synset?id=bn:08946343n&lang=IT	IT
mona	m*na	NOUN	https://babelnet.org/synset?id=bn:00024407n&lang=IT	IT
negro	n*gro	NOUN	https://babelnet.org/synset?id=bn:00022443n&lang=IT	IT
paracula	p*racula	NOUN	https://babelnet.org/synset?id=bn:00009205n&lang=IT	IT
passeggiatrice	p*sseggiatrice	NOUN	https://babelnet.org/synset?id=bn:00009205n&lang=IT	IT
passera	p*ssera	NOUN	https://babelnet.org/synset?id=bn:00024407n&lang=IT	IT
pisello	p*sello	NOUN	https://babelnet.org/synset?id=bn:00020263n&lang=IT	IT
porca	p*rca	NOUN	https://babelnet.org/synset?id=bn:00073025n&lang=IT	IT
puttana	p*ttana	NOUN	https://babelnet.org/synset?id=bn:00072076n&lang=IT	IT
ricchione	r*cchione	NOUN	https://babelnet.org/synset?id=bn%3A00056757n&lang=IT	IT
sborra	sb*rra	NOUN	https://babelnet.org/synset?id=bn:00020895n&lang=IT	IT
sciattona	sc*attona	NOUN	https://babelnet.org/synset?id=bn:00072076n&lang=IT	IT
scopata	sc*pata	NOUN	https://babelnet.org/synset?id=bn:00006453n&lang=IT	IT
sgualdrina	sg*aldrina	NOUN	https://babelnet.org/synset?id=bn:00072076n&lang=IT	IT
smerdare	sm*rdare	VERB	https://babelnet.org/synset?id=bn%3A00083350v&lang=IT	IT
smerdato	sm*rdato	ADJ	https://babelnet.org/synset?id=bn%3A00083350v&lang=IT	IT
smerdata	sm*rdata	ADJ	https://babelnet.org/synset?id=bn%3A00083350v&lang=IT	IT
sorca	s*rca	NOUN	https://babelnet.org/synset?id=bn:00024407n&lang=IT	IT
squillo	sq*illo	NOUN	https://babelnet.org/synset?id=bn:00009205n&lang=IT	IT
stronzo	str*nzo	NOUN	https://babelnet.org/synset?id=bn:00005914n&lang=IT	IT
stronzata	str*nzata	NOUN	https://babelnet.org/synset?id=bn%3A00013775n&lang=IT	IT
stronzate	str*nzate	NOUN	https://babelnet.org/synset?id=bn%3A00013775n&lang=IT	IT
tranvione	tr*nvione	NOUN	https://babelnet.org/synset?id=bn%3A15152029n&lang=EN	IT
travione	tr*vione	NOUN	https://babelnet.org/synset?id=bn%3A15152029n&lang=EN	IT
travioni	tr*vioni	NOUN	https://babelnet.org/synset?id=bn%3A15152029n&lang=EN	IT
troia	tr*ia	NOUN	https://babelnet.org/synset?id=bn:00072076n&lang=IT	IT
trombare	tr*mbare	VERB	https://babelnet.org/synset?id=bn:00083081v&lang=IT	IT
vaffanculo	v*ffanculo	NOUN	https://babelnet.org/synset?id=bn:23891915n&lang=IT	IT
zoccola	z*ccola	NOUN	https://babelnet.org/synset?id=bn:00009205n&lang=IT	IT
bastardo	b*stardo	NOUN	https://babelnet.org/synset?id=bn:00006506n&lang=ES	ES
bicho	b*cho	NOUN	https://babelnet.org/synset?id=bn:00020263n&lang=ES	ES
chichi	ch*chi	NOUN	https://babelnet.org/synset?id=bn:00024407n&lang=ES	ES
chinga	ch*nga	NOUN	https://babelnet.org/synset?id=bn:00006453n&lang=ES	ES
chocho	ch*cho	NOUN	https://babelnet.org/synset?id=bn:00024407n&lang=ES	ES
cipote	c*pote	NOUN	https://babelnet.org/synset?id=bn:00020263n&lang=ES	ES
cocho	c*cho	NOUN	https://babelnet.org/synset?id=bn:00024407n&lang=ES	ES
cojones	c*jones	NOUN	https://babelnet.org/synset?id=bn:0008124n&lang=ES	ES
coño	c*ño	NOUN	https://babelnet.org/synset?id=bn%3A00080288n&orig=co%C3%B1o&lang=ES	ES
culear	c*lear	VERB	https://babelnet.org/synset?id=bn:00083081v&lang=ES	ES
follar	f*llar	NOUN	https://babelnet.org/synset?id=bn:00006453n&lang=ES	ES
follarse	f*llarse	VERB	https://babelnet.org/synset?id=bn:00083081v&lang=ES	ES
fornicar	f*rnicar	NOUN	https://babelnet.org/synset?id=bn:00006453n&lang=ES	ES
fulana	f*lana	NOUN	https://babelnet.org/synset?id=bn:00009205n&lang=ES	ES
furcia	f*rcia	NOUN	https://babelnet.org/synset?id=bn:00072076n&lang=ES	ES
garchar	g*rchar	VERB	https://babelnet.org/synset?id=bn:00083081v&lang=ES	ES
gilipollas	g*lipollas	NOUN	https://babelnet.org/synset?id=bn:00005914n&lang=ES	ES
golfa	g*lfa	NOUN	https://babelnet.org/synset?id=bn:00072076n&lang=ES	ES
idiota	id*ota	NOUN	https://babelnet.org/synset?id=bn:00024407n&lang=ES	ES
imbecil	imb*cil	NOUN	https://babelnet.org/synset?id=bn:0074823n&lang=ES	ES
joder	j*der	NOUN	https://babelnet.org/synset?id=bn:00006453n&lang=ES	ES
lagarta	l*garta	NOUN	https://babelnet.org/synset?id=bn:00072076n&lang=ES	ES
lagartona	l*gartona	NOUN	https://babelnet.org/synset?id=bn:00072076n&lang=ES	ES
mierda	m*erda	NOUN	https://babelnet.org/synset?id=bn:00005914n&lang=ES	ES
nigga	n*gga	NOUN	https://babelnet.org/synset?id=bn:00022443n&lang=ES	ES
ojete	oj*te	NOUN	https://babelnet.org/synset?id=bn:0004797n&lang=ES	ES
panocha	p*nocha	NOUN	https://babelnet.org/synset?id=bn:00024407n&lang=ES	ES
pelotas	p*lotas	NOUN	https://dle.rae.es/pelota	ES
pendejo	p*ndejo	NOUN	https://babelnet.org/synset?id=bn:00006506n&lang=ES	ES
perra	p*rra	NOUN	https://babelnet.org/synset?id=bn:00010740n&lang=ES	ES
picha	p*cha	NOUN	https://babelnet.org/synset?id=bn:00020263n&lang=ES	ES
pichar	p*char	VERB	https://babelnet.org/synset?id=bn:00083081v&lang=ES	ES
pichi	p*chi	NOUN	https://babelnet.org/synset?id=bn:00020263n&lang=ES	ES
pichula	p*chula	NOUN	https://babelnet.org/synset?id=bn:00020263n&lang=ES	ES
pilila	p*lila	NOUN	https://babelnet.org/synset?id=bn:00020263n&lang=ES	ES
pinga	p*nga	NOUN	https://babelnet.org/synset?id=bn:00020263n&lang=ES	ES
pipe	p*pe	NOUN	https://babelnet.org/synset?id=bn:00020263n&lang=ES	ES
polla	p*lla	NOUN	https://babelnet.org/synset?id=bn:00020263n&lang=ES	ES
puta	p*ta	NOUN	https://babelnet.org/synset?id=bn:00010740n&lang=ES	ES
putilla	p*tilla	NOUN	https://babelnet.org/synset?id=bn:00072076n&lang=ES	ES
puto	p*to	NOUN	https://babelnet.org/synset?id=bn:00032701n&lang=ES	ES
ramera	r*mera	NOUN	https://babelnet.org/synset?id=bn:00010740n&lang=ES	ES
reata	r*ata	NOUN	https://babelnet.org/synset?id=bn:00020263n&lang=ES	ES
subnormal	s*bnormal	NOUN	https://babelnet.org/synset?id=bn:0074936n&lang=ES	ES
sudaca	s*daca	NOUN	https://babelnet.org/synset?id=bn:0050166n&lang=ES	ES
verga	v*rga	NOUN	https://babelnet.org/synset?id=bn:00020263n&lang=ES	ES
vergar	v*rgar	VERB	https://babelnet.org/synset?id=bn:00083081v&lang=ES	ES
zorra	z*rra	NOUN	https://babelnet.org/synset?id=bn:00010740n&lang=ES	ES
fat geezer	f@t g33z3r	NOUN		
fat geezer	f a t   g e e z e r	NOUN		
fat geezer	fât géezér	NOUN		
fat geezer	FAT GEEZER	NOUN		
fat geezer	Fat_Geezer	NOUN		
fat geezer	f*t g*eer	NOUN		
fat geezer	f..at g..eer	NOUN		
fat geezer	f@t_g33z3r!	NOUN		
fat geezer	f🅰️t g🅴🅴z🅴r	NOUN		
fat geezer	f*** g****	NOUN		
party pooper	p4rty p00p3r	NOUN		
party pooper	p a r t y   p o o p e r	NOUN		
party pooper	party-pooper	NOUN		
party pooper	PaRtY PoOpEr	NOUN		
party pooper	pârty pôôpêr	NOUN		
party pooper	p***y p****r	NOUN		
party pooper	p@rty pøøpêr	NOUN		
party pooper	yrtap reepo p	NOUN		
party pooper	p a r t y.p o o p e r	NOUN		
party pooper	p4r7y-p00p3r	NOUN		
party pooper	p4rty p0oper	NOUN		
party pooper	p@rty p00pêr	NOUN		
nagger	n@gger	NOUN		
nagger	n@gg3r	VERB		
nagger	n a g g e r	NOUN		
nagger	n.g.g.e.r	VERB		
nagger	Nagger	NOUN		
nagger	nAgGeR	VERB		
nagger	nâgger	NOUN		
nagger	n_g_g_e_r	VERB		
nagger	n***er	NOUN		
nagger	n@g_g3r	VERB		
bratface	br4tfac3	NOUN		
bratface	b r a t f a c e	NOUN		
bratface	brat-fac3	NOUN		
bratface	BrAtFaCe	NOUN		
bratface	brâtfâcê	NOUN		
bratface	b***face	NOUN		
bratface	bratf@c3!	NOUN		
bratface	bratface?	NOUN		
bratface	bratf ace	NOUN		
bratface	ecaftrarb	NOUN		
son of a biscuit	s0n 0f @ biscuit	NOUN		
son of a biscuit	son o' a biscuit	NOUN		
son of a biscuit	s o n   o f   a   b i s c u i t	NOUN		
son of a biscuit	son_of_a_biscuit	NOUN		
son of a biscuit	søn øf å bïscuit	NOUN		
son of a biscuit	SON OF A BISCUIT	NOUN		
son of a biscuit	s0n0f@b1scu1t	NOUN		
son of a biscuit	son-of-a-biscuit	NOUN		
son of a biscuit	s*** of a biscuit	NOUN		
son of a biscuit	son of a b!scuit	NOUN		
filth	f1lth	NOUN		
filth	f!lth	NOUN		
filth	f1!th	NOUN		
filth	f i l t h	NOUN		
filth	f.l.t.h	NOUN		
filth	FIlTh	NOUN		
filth	fïlth	NOUN		
filth	f***h	NOUN		
filth	filth!	NOUN		
filth	ph1lth	NOUN		
filth	filth?	NOUN		
filth	f1l7h	NOUN		
filth	f i l t h!	NOUN		
filth	f!l7h	NOUN		
filth	f1lth#	NOUN		
brickfucker	br1ckfucker	NOUN		
brickfucker	br!ckf*cker	NOUN		
brickfucker	b r i c k f u c k e r	NOUN		
brickfucker	br1ckf*ck3r	NOUN		
brickfucker	br|ckfucker	NOUN		
brickfucker	br1ckfucker!	NOUN		
brickfucker	br1ckf*cker	NOUN		
brickfucker	br1ckf**ker	NOUN		
brickfucker	br1ckf*ck?r	NOUN		
brickfucker	br1ckf*ck3r?	NOUN		
nincompoop	n1ncompoop	NOUN		
nincompoop	n!ncompoop	NOUN		
nincompoop	ninc0mp00p	NOUN		
nincompoop	n i n c o m p o o p	NOUN		
nincompoop	n.in.com.po.op	NOUN		
nincompoop	NINCOMPOOP	NOUN		
nincompoop	NiNcOmPoOp	NOUN		
nincompoop	níncômpoop	NOUN		
nincompoop	n***poop	NOUN		
nincompoop	n_incompoop	NOUN		
nincompoop	n!n.c0mp00p	NOUN		
nincompoop	n!n c0mp00p	NOUN		
cougar	c0ug@r	NOUN		
cougar	c0u g@r	NOUN		
cougar	c.o.u.g.a.r	NOUN		
cougar	C0U G@R	NOUN		
cougar	c0u_g@r	NOUN		
cougar	c0u*g@r	NOUN		
cougar	c0u?g@r	NOUN		
cougar	c0u.g@r	NOUN		
cougar	c0u-g@r	NOUN		
cougar	côugär	NOUN		
twatwaffle	tw4tw@ffl3	NOUN		
twatwaffle	t w a t w a f f l e	NOUN		
twatwaffle	twat-waffle	NOUN		
twatwaffle	TwAtWaFfLe	NOUN		
twatwaffle	tw@tw@ffl3	NOUN		
twatwaffle	twatw@ffl3!	NOUN		
twatwaffle	twatw*ffle	NOUN		
twatwaffle	twatwffle	NOUN		
twatwaffle	tw@tw*ffl3	NOUN		
twatwaffle	twatwαffle	NOUN		
sgualdrina	5gualdr1na	NOUN		
sgualdrina	s g u a l d r i n a	NOUN		
sgualdrina	sgualdr!na	NOUN		
sgualdrina	SgUalDrInA	NOUN		
sgualdrina	sgüaldriña	NOUN		
sgualdrina	sg***drina	NOUN		
sgualdrina	sgualdrin@	NOUN		
sgualdrina	sgualdrina?	NOUN		
sgualdrina	anirdluags	NOUN		
sgualdrina	s9u4l9r1n4	NOUN		
poohead	p00h34d	NOUN		
poohead	p.o.o.h.e.a.d	NOUN		
poohead	p o o h e a d	NOUN		
poohead	PooHead	NOUN		
poohead	pøøhëåd	NOUN		
poohead	p**head	NOUN		
poohead	po0h3ad	NOUN		
poohead	p_o_o_h_e_a_d	NOUN		
poohead	p0o|head	NOUN		
poohead	p○○h℮ad	NOUN		
threat	thr34t	NOUN		
threat	t h r e a t	NOUN		
threat	th.re.at	NOUN		
threat	ThReAt	NOUN		
threat	thrêat	NOUN		
threat	t_h_r_e_a_t	NOUN		
threat	t***t	NOUN		
threat	t@r34t	NOUN		
threat	t h.r e a t	NOUN		
threat	ʇɐǝɹɥʇ	NOUN		
cockbite	c0ckb1t3	NOUN		
cockbite	c0ckb!te	NOUN		
cockbite	c0ck b!te	NOUN		
cockbite	c0ck-bite	NOUN		
cockbite	C0ckBite	NOUN		
cockbite	c0ckb_te	NOUN		
cockbite	c***bite	NOUN		
cockbite	c0ckb!t3	NOUN		
fuckbucket	f*ckb*cket	NOUN		
fuckbucket	f@ckbucK3t	NOUN		
fuckbucket	f u c k b u c k e t	NOUN		
fuckbucket	f.u.c.k.b.u.c.k.e.t	NOUN		
fuckbucket	FUCKBUCKET	NOUN		
fuckbucket	fUckbUckEt	NOUN		
fuckbucket	fückbücket	NOUN		
fuckbucket	f-uck-bucket	NOUN		
fuckbucket	f*ckbuc(k)et	NOUN		
fuckbucket	f**kb**ket	NOUN		
ratfink	r4tf1nk	NOUN		
ratfink	r@tf!nk	NOUN		
ratfink	r a t f i n k	NOUN		
ratfink	r.at.fink	NOUN		
ratfink	RAtFiNk	NOUN		
ratfink	râtfïnk	NOUN		
ratfink	r***nk	NOUN		
ratfink	r_t_f_i_n_k	NOUN		
ratfink	kniftra	NOUN		
cockweasel	c0ckw34s3l	NOUN		
cockweasel	c0ck-w3asel	NOUN		
cockweasel	c0ck w e a s e l	NOUN		
cockweasel	C0ckW3asel	NOUN		
cockweasel	c0ckw3@sel	NOUN		
cockweasel	c0ckw3a$el	NOUN		
cockweasel	c0ckw3a5el	NOUN		
cockweasel	c0ckw3a?el	NOUN		
cockweasel	c0ckw3a*l	NOUN		
cockweasel	c***w***	NOUN		
fraggle	fr4ggl3	NOUN		
fraggle	f r a g g l e	NOUN		
fraggle	fr@ggl3	NOUN		
fraggle	FrAgGlE	NOUN		
fraggle	frâggle	NOUN		
fraggle	f***gle	NOUN		
fraggle	fräg|e	NOUN		
fraggle	fr-agg-le	NOUN		
fraggle	elggarf	NOUN		
fraggle	fr.aggle	NOUN		
beggar	b3gg@r	NOUN		
beggar	b e g g a r	NOUN		
beggar	b.eg.g.ar	NOUN		
beggar	BeggAr	VERB		
beggar	bêggär	NOUN		
beggar	b_g_g_a_r	NOUN		
beggar	b**ggar	VERB		
beggar	raggeb	NOUN		
beggar	b-egg-ar	NOUN		
beggar	ßeggar	NOUN		
beggar	b3g9ar	VERB		
beggar	b e g g a r?	NOUN		
